id,left,top,right,bottom,num_of_points,F,H,L,P
"146",79.017195,21.248185,79.022195,21.243185,0,0,0,0,0
"147",79.017195,21.243185,79.022195,21.238185,0,0,0,0,0
"148",79.017195,21.238185,79.022195,21.233185,0,0,0,0,0
"149",79.017195,21.233185,79.022195,21.228185,0,0,0,0,0
"150",79.017195,21.228185,79.022195,21.223185,0,0,0,0,0
"151",79.017195,21.223185,79.022195,21.218185,0,0,0,0,0
"152",79.017195,21.218185,79.022195,21.213185,0,0,0,0,0
"153",79.017195,21.213185,79.022195,21.208185,0,0,0,0,0
"154",79.017195,21.208185,79.022195,21.203185,0,0,0,0,0
"155",79.017195,21.203185,79.022195,21.198185,0,0,0,0,0
"156",79.017195,21.198185,79.022195,21.193185,0,0,0,0,0
"157",79.017195,21.193185,79.022195,21.188185,0,0,0,0,0
"158",79.017195,21.188185,79.022195,21.183185,0,0,0,0,0
"159",79.017195,21.183185,79.022195,21.178185,0,0,0,0,0
"160",79.017195,21.178185,79.022195,21.173185,0,0,0,0,0
"161",79.017195,21.173185,79.022195,21.168185,0,0,0,0,0
"162",79.017195,21.168185,79.022195,21.163185,9,0,4,3,2
"163",79.017195,21.163185,79.022195,21.158185,0,0,0,0,0
"164",79.017195,21.158185,79.022195,21.153185,11,0,0,11,0
"165",79.017195,21.153185,79.022195,21.148185,28,2,16,10,0
"166",79.017195,21.148185,79.022195,21.143185,0,0,0,0,0
"167",79.017195,21.143185,79.022195,21.138185,0,0,0,0,0
"168",79.017195,21.138185,79.022195,21.133185,0,0,0,0,0
"169",79.017195,21.133185,79.022195,21.128185,0,0,0,0,0
"170",79.017195,21.128185,79.022195,21.123185,0,0,0,0,0
"171",79.017195,21.123185,79.022195,21.118185,5,0,4,1,0
"172",79.017195,21.118185,79.022195,21.113185,3,0,1,0,2
"173",79.017195,21.113185,79.022195,21.108185,0,0,0,0,0
"174",79.017195,21.108185,79.022195,21.103185,0,0,0,0,0
"175",79.017195,21.103185,79.022195,21.098185,0,0,0,0,0
"176",79.017195,21.098185,79.022195,21.093185,0,0,0,0,0
"177",79.017195,21.093185,79.022195,21.088185,0,0,0,0,0
"178",79.017195,21.088185,79.022195,21.083185,0,0,0,0,0
"179",79.017195,21.083185,79.022195,21.078185,0,0,0,0,0
"180",79.017195,21.078185,79.022195,21.073185,0,0,0,0,0
"181",79.017195,21.073185,79.022195,21.068185,0,0,0,0,0
"182",79.017195,21.068185,79.022195,21.063185,0,0,0,0,0
"183",79.017195,21.063185,79.022195,21.058185,0,0,0,0,0
"184",79.017195,21.058185,79.022195,21.053185,0,0,0,0,0
"185",79.017195,21.053185,79.022195,21.048185,0,0,0,0,0
"186",79.017195,21.048185,79.022195,21.043185,0,0,0,0,0
"187",79.017195,21.043185,79.022195,21.038185,0,0,0,0,0
"188",79.017195,21.038185,79.022195,21.033185,0,0,0,0,0
"189",79.017195,21.033185,79.022195,21.028185,0,0,0,0,0
"190",79.017195,21.028185,79.022195,21.023185,0,0,0,0,0
"191",79.017195,21.023185,79.022195,21.018185,0,0,0,0,0
"192",79.017195,21.018185,79.022195,21.013185,0,0,0,0,0
"193",79.022195,21.253185,79.027195,21.248185,0,0,0,0,0
"194",79.022195,21.248185,79.027195,21.243185,0,0,0,0,0
"195",79.022195,21.243185,79.027195,21.238185,0,0,0,0,0
"196",79.022195,21.238185,79.027195,21.233185,2,0,0,0,2
"197",79.022195,21.233185,79.027195,21.228185,0,0,0,0,0
"198",79.022195,21.228185,79.027195,21.223185,0,0,0,0,0
"199",79.022195,21.223185,79.027195,21.218185,0,0,0,0,0
"200",79.022195,21.218185,79.027195,21.213185,0,0,0,0,0
"201",79.022195,21.213185,79.027195,21.208185,0,0,0,0,0
"202",79.022195,21.208185,79.027195,21.203185,0,0,0,0,0
"203",79.022195,21.203185,79.027195,21.198185,0,0,0,0,0
"204",79.022195,21.198185,79.027195,21.193185,0,0,0,0,0
"205",79.022195,21.193185,79.027195,21.188185,0,0,0,0,0
"206",79.022195,21.188185,79.027195,21.183185,0,0,0,0,0
"207",79.022195,21.183185,79.027195,21.178185,0,0,0,0,0
"208",79.022195,21.178185,79.027195,21.173185,0,0,0,0,0
"209",79.022195,21.173185,79.027195,21.168185,0,0,0,0,0
"210",79.022195,21.168185,79.027195,21.163185,0,0,0,0,0
"211",79.022195,21.163185,79.027195,21.158185,0,0,0,0,0
"212",79.022195,21.158185,79.027195,21.153185,0,0,0,0,0
"213",79.022195,21.153185,79.027195,21.148185,17,0,17,0,0
"214",79.022195,21.148185,79.027195,21.143185,0,0,0,0,0
"215",79.022195,21.143185,79.027195,21.138185,0,0,0,0,0
"216",79.022195,21.138185,79.027195,21.133185,0,0,0,0,0
"217",79.022195,21.133185,79.027195,21.128185,0,0,0,0,0
"218",79.022195,21.128185,79.027195,21.123185,0,0,0,0,0
"219",79.022195,21.123185,79.027195,21.118185,8,2,0,6,0
"220",79.022195,21.118185,79.027195,21.113185,0,0,0,0,0
"221",79.022195,21.113185,79.027195,21.108185,0,0,0,0,0
"222",79.022195,21.108185,79.027195,21.103185,0,0,0,0,0
"223",79.022195,21.103185,79.027195,21.098185,0,0,0,0,0
"224",79.022195,21.098185,79.027195,21.093185,0,0,0,0,0
"225",79.022195,21.093185,79.027195,21.088185,0,0,0,0,0
"226",79.022195,21.088185,79.027195,21.083185,0,0,0,0,0
"227",79.022195,21.083185,79.027195,21.078185,0,0,0,0,0
"228",79.022195,21.078185,79.027195,21.073185,0,0,0,0,0
"229",79.022195,21.073185,79.027195,21.068185,0,0,0,0,0
"230",79.022195,21.068185,79.027195,21.063185,0,0,0,0,0
"231",79.022195,21.063185,79.027195,21.058185,0,0,0,0,0
"232",79.022195,21.058185,79.027195,21.053185,0,0,0,0,0
"233",79.022195,21.053185,79.027195,21.048185,0,0,0,0,0
"234",79.022195,21.048185,79.027195,21.043185,0,0,0,0,0
"235",79.022195,21.043185,79.027195,21.038185,0,0,0,0,0
"236",79.022195,21.038185,79.027195,21.033185,0,0,0,0,0
"237",79.022195,21.033185,79.027195,21.028185,0,0,0,0,0
"238",79.022195,21.028185,79.027195,21.023185,0,0,0,0,0
"239",79.022195,21.023185,79.027195,21.018185,0,0,0,0,0
"240",79.022195,21.018185,79.027195,21.013185,0,0,0,0,0
"241",79.027195,21.253185,79.032195,21.248185,0,0,0,0,0
"242",79.027195,21.248185,79.032195,21.243185,0,0,0,0,0
"243",79.027195,21.243185,79.032195,21.238185,0,0,0,0,0
"244",79.027195,21.238185,79.032195,21.233185,0,0,0,0,0
"245",79.027195,21.233185,79.032195,21.228185,2,0,0,0,2
"246",79.027195,21.228185,79.032195,21.223185,0,0,0,0,0
"247",79.027195,21.223185,79.032195,21.218185,0,0,0,0,0
"248",79.027195,21.218185,79.032195,21.213185,0,0,0,0,0
