Centroid_Lat,Centroid_Long,Cell_ID,Date,Events_per_Day,Event_Generators_Per_day,Normal_per_Day,Events_Overall,Event_Generators_Overall,Normal_Overall,Event_F_Per_DAY,Event_H_Per_DAY,Event_L_Per_DAY,Event_P_Per_DAY,Normal_F_Per_DAY,Normal_H_Per_DAY,Normal_L_Per_DAY,Normal_P_Per_DAY
21.14957950796648,79.13450127488727,8860961219fffff,02-03-22,10,2,5.0,35,3,11.666666666666666,1,4,0,5,0.5,2.0,0.0,2.5
21.14957950796648,79.13450127488727,8860961219fffff,02-04-22,7,1,7.0,35,3,11.666666666666666,2,4,0,1,2.0,4.0,0.0,1.0
21.14957950796648,79.13450127488727,8860961219fffff,02-05-22,8,2,4.0,35,3,11.666666666666666,1,4,0,3,0.5,2.0,0.0,1.5
21.14957950796648,79.13450127488727,8860961219fffff,02-06-22,4,1,4.0,35,3,11.666666666666666,1,1,0,2,1.0,1.0,0.0,2.0
21.14957950796648,79.13450127488727,8860961219fffff,02-08-22,3,1,3.0,35,3,11.666666666666666,1,2,0,0,1.0,2.0,0.0,0.0
21.149303939969208,79.12570180659327,886096121bfffff,02-02-22,1,1,1.0,17,3,5.666666666666667,0,1,0,0,0.0,1.0,0.0,0.0
21.149303939969208,79.12570180659327,886096121bfffff,02-03-22,5,2,2.5,17,3,5.666666666666667,1,4,0,0,0.5,2.0,0.0,0.0
21.149303939969208,79.12570180659327,886096121bfffff,02-04-22,1,1,1.0,17,3,5.666666666666667,0,1,0,0,0.0,1.0,0.0,0.0
21.149303939969208,79.12570180659327,886096121bfffff,02-05-22,4,2,2.0,17,3,5.666666666666667,0,3,0,1,0.0,1.5,0.0,0.5
21.149303939969208,79.12570180659327,886096121bfffff,02-06-22,2,1,2.0,17,3,5.666666666666667,1,1,0,0,1.0,1.0,0.0,0.0
21.149303939969208,79.12570180659327,886096121bfffff,02-08-22,4,1,4.0,17,3,5.666666666666667,1,2,0,1,1.0,2.0,0.0,1.0
21.15067746740353,79.16970703776526,8860961241fffff,02-03-22,1,1,1.0,1,1,1.0,0,1,0,0,0.0,1.0,0.0,0.0
21.150403624694434,79.16090441420904,8860961243fffff,02-01-22,5,1,5.0,40,3,13.333333333333334,0,0,0,5,0.0,0.0,0.0,5.0
21.150403624694434,79.16090441420904,8860961243fffff,02-02-22,5,1,5.0,40,3,13.333333333333334,0,0,0,5,0.0,0.0,0.0,5.0
21.150403624694434,79.16090441420904,8860961243fffff,02-03-22,11,2,5.5,40,3,13.333333333333334,0,1,1,9,0.0,0.5,0.5,4.5
21.150403624694434,79.16090441420904,8860961243fffff,02-04-22,5,1,5.0,40,3,13.333333333333334,1,0,0,4,1.0,0.0,0.0,4.0
21.150403624694434,79.16090441420904,8860961243fffff,02-05-22,5,2,2.5,40,3,13.333333333333334,0,0,0,5,0.0,0.0,0.0,2.5
21.150403624694434,79.16090441420904,8860961243fffff,02-06-22,4,1,4.0,40,3,13.333333333333334,0,0,0,4,0.0,0.0,0.0,4.0
21.150403624694434,79.16090441420904,8860961243fffff,02-08-22,5,1,5.0,40,3,13.333333333333334,0,0,0,5,0.0,0.0,0.0,5.0
21.15784146426371,79.16547663978996,8860961247fffff,02-05-22,1,1,1.0,1,1,1.0,0,0,0,1,0.0,0.0,0.0,1.0
21.143512721514366,79.17393740665474,8860961249fffff,02-03-22,3,1,3.0,3,1,3.0,0,2,0,1,0.0,2.0,0.0,1.0
21.150129350462795,79.15210257900434,8860961255fffff,02-01-22,6,1,6.0,63,3,21.0,2,1,0,3,2.0,1.0,0.0,3.0
21.150129350462795,79.15210257900434,8860961255fffff,02-02-22,6,1,6.0,63,3,21.0,0,1,0,5,0.0,1.0,0.0,5.0
21.150129350462795,79.15210257900434,8860961255fffff,02-03-22,18,2,9.0,63,3,21.0,3,7,0,8,1.5,3.5,0.0,4.0
21.150129350462795,79.15210257900434,8860961255fffff,02-04-22,8,1,8.0,63,3,21.0,2,2,0,4,2.0,2.0,0.0,4.0
21.150129350462795,79.15210257900434,8860961255fffff,02-05-22,12,2,6.0,63,3,21.0,1,5,0,6,0.5,2.5,0.0,3.0
21.150129350462795,79.15210257900434,8860961255fffff,02-06-22,1,1,1.0,63,3,21.0,0,0,0,1,0.0,0.0,0.0,1.0
21.150129350462795,79.15210257900434,8860961255fffff,02-08-22,12,1,12.0,63,3,21.0,1,5,0,6,1.0,5.0,0.0,6.0
21.149854644842254,79.14330153246065,8860961257fffff,02-01-22,3,1,3.0,32,3,10.666666666666666,0,1,0,2,0.0,1.0,0.0,2.0
21.149854644842254,79.14330153246065,8860961257fffff,02-02-22,2,1,2.0,32,3,10.666666666666666,0,0,0,2,0.0,0.0,0.0,2.0
21.149854644842254,79.14330153246065,8860961257fffff,02-03-22,8,2,4.0,32,3,10.666666666666666,1,3,0,4,0.5,1.5,0.0,2.0
21.149854644842254,79.14330153246065,8860961257fffff,02-04-22,3,1,3.0,32,3,10.666666666666666,1,1,0,1,1.0,1.0,0.0,1.0
21.149854644842254,79.14330153246065,8860961257fffff,02-05-22,6,2,3.0,32,3,10.666666666666666,0,3,0,3,0.0,1.5,0.0,1.5
21.149854644842254,79.14330153246065,8860961257fffff,02-06-22,4,1,4.0,32,3,10.666666666666666,0,1,0,3,0.0,1.0,0.0,3.0
21.149854644842254,79.14330153246065,8860961257fffff,02-08-22,6,1,6.0,32,3,10.666666666666666,1,2,0,3,1.0,2.0,0.0,3.0
21.14296563237288,79.15633262943881,886096125dfffff,02-01-22,6,1,6.0,42,1,42.0,0,0,0,6,0.0,0.0,0.0,6.0
21.14296563237288,79.15633262943881,886096125dfffff,02-02-22,7,1,7.0,42,1,42.0,2,0,0,5,2.0,0.0,0.0,5.0
21.14296563237288,79.15633262943881,886096125dfffff,02-03-22,5,1,5.0,42,1,42.0,0,2,0,3,0.0,2.0,0.0,3.0
21.14296563237288,79.15633262943881,886096125dfffff,02-04-22,4,1,4.0,42,1,42.0,0,0,0,4,0.0,0.0,0.0,4.0
21.14296563237288,79.15633262943881,886096125dfffff,02-05-22,6,1,6.0,42,1,42.0,0,0,0,6,0.0,0.0,0.0,6.0
21.14296563237288,79.15633262943881,886096125dfffff,02-06-22,6,1,6.0,42,1,42.0,0,1,0,5,0.0,1.0,0.0,5.0
21.14296563237288,79.15633262943881,886096125dfffff,02-08-22,8,1,8.0,42,1,42.0,1,0,0,7,1.0,0.0,0.0,7.0
21.16251534857645,79.08205388798237,8860961283fffff,02-01-22,1,1,1.0,16,1,16.0,0,0,0,1,0.0,0.0,0.0,1.0
21.16251534857645,79.08205388798237,8860961283fffff,02-03-22,4,1,4.0,16,1,16.0,1,3,0,0,1.0,3.0,0.0,0.0
21.16251534857645,79.08205388798237,8860961283fffff,02-04-22,3,1,3.0,16,1,16.0,0,3,0,0,0.0,3.0,0.0,0.0
21.16251534857645,79.08205388798237,8860961283fffff,02-06-22,1,1,1.0,16,1,16.0,0,0,0,1,0.0,0.0,0.0,1.0
21.16251534857645,79.08205388798237,8860961283fffff,02-07-22,5,1,5.0,16,1,16.0,0,4,0,1,0.0,4.0,0.0,1.0
21.16251534857645,79.08205388798237,8860961283fffff,02-08-22,2,1,2.0,16,1,16.0,0,1,0,1,0.0,1.0,0.0,1.0
21.155634534404793,79.09507902161691,8860961289fffff,02-01-22,9,1,9.0,45,3,15.0,1,5,0,3,1.0,5.0,0.0,3.0
21.155634534404793,79.09507902161691,8860961289fffff,02-03-22,9,2,4.5,45,3,15.0,1,8,0,0,0.5,4.0,0.0,0.0
21.155634534404793,79.09507902161691,8860961289fffff,02-04-22,7,1,7.0,45,3,15.0,0,4,1,2,0.0,4.0,1.0,2.0
